captainName,rank,nationality,company,Image
De Blnac,Cdt.,French,,
J.G. Appel,Kapitein,Dutch,,
Jan van Kerkhoven,,Dutch,MCC,
J. Menkenveld,,Dutch,MCC,
J. Hensing,Kapitein,Dutch,MER,
de Boub,Cdt.,French,,
Delvos,Officier,Dutch,ADM,
William Lyall,Captain,British,RN,
JUAN RUIZ DE APODACA,CAPITAN,Spanish,,
Robijn,Chirurgijn,Dutch,MAR,
F.B. Teuneszen,Kapitein,Dutch,,
Huijs,Luitenant ter Zee,Dutch,MAR,
FERNANDO RODRGUEZ VARCLCEL,COMANDANTE,Spanish,,
H. van de Velde,KLtZ,Dutch,,
Francisco de Larrea,Capitan,Spanish,,
A. Schaap,Kapitein,Dutch,,
J.W. Moll,,Dutch,ADM,
Francis Austen,Captain,British,RN,
C. Schoewert,Kapitein,Dutch,,
Pieter de Moor,Schipper,Dutch,MCC,
John Ball,Captain,British,RN,
De Ferrires,Cdt.,French,,
Thomas Saumarez,Captain,British,RN,
C.M. Borghorst,Kapitein,Dutch,,
James Carthew,Captain,British,RN,
Coupland,Captain,British,,
William Waller,Captain,British,RN,
Juan A Gonzlez,Capitan,Spanish,,
John Moutray (author),Captain,British,RN,
Robert Drummond,Captain,British,EIC,
J. Wichers,Raad Just.,Dutch,VOC,
Pieter Clement,Kapitein,Dutch,VOC,
Simon Loopuit,Kapitein,Dutch,ADM,
Hendrik Santleven,Kapitein,Dutch,MCC,
Koopmans,Kapitein ter Zee,Dutch,Marine,
M.Hocquart,Cdt.,French,,
C. Abrahams jr.,Kapitein,Dutch,,
James Cornwallis,Captain,British,RN,
J. Henkens,,Dutch,,
C.A. Bodel,KLtZ,Dutch,ADM,
J.F.Q. Bouricius,KLtZ,Dutch,,
TOMS SARALEGUI,CAPITAN,Spanish,,
D. Charlau,Kapitein,Dutch,MER,
Christoon Fummack,Kapitein,Dutch,VOC,
Limburg Stirum,Lt ter Zee,Dutch,Marine,
Roger Fish Palmer,Captain,British,EIC,
M.B. Hoffman,Kapitein,Dutch,,
Benjamin Marlow,Captain,British,RN,
Alexander Innes,Captain,British,RN,
Charles Anbobus,Captain,British,RN,
ALBERTO DE OLANDO,CAPITAN,Spanish,,
ANTONIO ULLOA,CAPITAN,Spanish,,
Benjamin Caldwell,Captain,British,RN,
Edward Cooke,Captain,British,RN,
Thomas Freemantle,Captain,British,RN,
R Roddam,Captain,British,RN,
ALONSO DE LA RIVA,TENIENTE DE NAVO,Spanish,,
John Stuart,Captain,British,EIC,
Edward Hamilton,Captain,British,RN,assets/img/Edward_Hamilton.jpg
John Stuart,Captain,British,RN,
William Marsh,Captain,British,RN,
Christopher Cole,Captain,British,RN,
