seaIce,airTemp,gusts,thunder,snow,longitude,date,windSpeed,fog,locationID,rain,sst,latitude,pressure,voyageID,windDirection,hail
False,-1,False,False,False,-32.3033,1788-05-17 14:00,15.3999996,False,247081,False,-1,45.8333,-1,5172,315,False
False,-1,False,False,False,-32.4033,1788-05-18 14:00,1,False,247082,True,-1,45.2667,-1,5172,293,False
False,-1,False,False,False,-32.2867,1788-05-19 14:00,-1,False,247083,False,-1,44.9667,-1,5172,293,False
False,-1,False,False,False,-33.5867,1788-05-20 14:00,0,False,247084,False,-1,44.5,-1,5172,68,False
False,-1,False,False,False,-35.4033,1788-05-21 14:00,-1,False,247085,False,-1,44.4667,-1,5172,68,False
False,-1,False,False,False,-36.82,1788-05-22 14:00,-1,False,247086,False,-1,43.1333,-1,5172,360,False
False,-1,False,False,False,-38.8867,1788-05-23 15:00,-1,False,247087,False,-1,42.6167,-1,5172,360,False
False,-1,False,False,False,-39.3867,1788-05-24 15:00,12.3000002,False,247088,False,-1,42.8167,-1,5172,270,False
False,-1,False,False,False,-41.1367,1788-05-25 15:00,-1,False,247089,False,-1,41.7833,-1,5172,338,False
False,-1,False,False,False,-41.8867,1788-05-26 15:00,0,False,247090,False,-1,42.5,-1,5172,338,False
False,-1,False,False,False,-42.3867,1788-05-27 15:00,0,False,247091,False,-1,43.0333,-1,5172,293,False
False,-1,False,False,False,-44.1867,1788-05-28 15:00,-1,False,247092,True,-1,42.7833,-1,5172,248,False
False,-1,False,False,False,-45.37,1788-05-29 15:00,-1,False,247093,False,-1,42.1833,-1,5172,45,False
False,-1,False,False,False,-45.3033,1788-05-30 15:00,0,False,247094,False,-1,41.85,-1,5172,270,False
False,-1,False,False,False,-46.8367,1788-05-31 15:00,1,False,247095,False,-1,42.9333,-1,5172,267,False
False,-1,False,False,False,-48.77,1788-06-01 15:00,15.3999996,False,247096,False,-1,44.5167,-1,5172,267,False
False,-1,False,False,False,-50.8367,1788-06-02 15:00,-1,False,247097,False,-1,44.25,-1,5172,225,False
False,-1,False,False,False,-50.8867,1788-06-03 15:00,-1,False,247098,False,-1,44.1667,-1,5172,318,False
False,-1,False,False,False,-51.4533,1788-06-04 15:00,-1,False,247099,False,-1,44.25,-1,5172,315,False
False,-1,False,False,False,-49.6533,1788-06-05 15:00,-1,False,247100,False,-1,44.3333,-1,5172,360,False
False,-1,False,False,False,-50.67,1788-06-06 15:00,-1,False,247101,False,-1,44.2,-1,5172,225,False
False,-1,False,False,False,-52.12,1788-06-07 15:00,-1,False,247102,False,-1,44.3833,-1,5172,-1,False
False,-1,False,False,False,-53.4867,1788-06-08 16:00,-1,False,247103,False,-1,43.3833,-1,5172,318,False
